judge,candidate_chosen,candidate_not_chosen,session
13,11,18,GCSE070211data
13,5,11,GCSE070211data
13,12,16,GCSE070211data
13,3,12,GCSE070211data
13,7,17,GCSE070211data
13,2,17,GCSE070211data
13,3,18,GCSE070211data
14,6,8,GCSE070211data
14,1,12,GCSE070211data
14,9,14,GCSE070211data
14,4,15,GCSE070211data
14,4,16,GCSE070211data
14,10,8,GCSE070211data
14,6,11,GCSE070211data
14,10,17,GCSE070211data
14,12,7,GCSE070211data
15,4,17,GCSE070211data
15,2,4,GCSE070211data
15,8,10,GCSE070211data
15,5,8,GCSE070211data
15,6,5,GCSE070211data
15,3,14,GCSE070211data
15,16,18,GCSE070211data
16,5,4,GCSE070211data
16,2,15,GCSE070211data
16,1,2,GCSE070211data
16,8,10,GCSE070211data
16,2,14,GCSE070211data
16,3,2,GCSE070211data
17,2,4,GCSE070211data
17,8,11,GCSE070211data
17,6,8,GCSE070211data
17,14,9,GCSE070211data
17,15,16,GCSE070211data
17,5,15,GCSE070211data
17,2,5,GCSE070211data
17,13,17,GCSE070211data
17,1,13,GCSE070211data
17,8,11,GCSE070211data
18,15,7,GCSE070211data
18,8,15,GCSE070211data
18,12,8,GCSE070211data
18,6,11,GCSE070211data
18,9,14,GCSE070211data
19,3,4,GCSE070211data
19,2,3,GCSE070211data
19,6,5,GCSE070211data
19,9,18,GCSE070211data
20,5,9,GCSE070211data
20,4,5,GCSE070211data
20,2,4,GCSE070211data
20,8,10,GCSE070211data
20,1,12,GCSE070211data
20,2,5,GCSE070211data
20,7,15,GCSE070211data
21,5,14,GCSE070211data
21,3,5,GCSE070211data
21,2,3,GCSE070211data
21,1,2,GCSE070211data
21,8,15,GCSE070211data
21,6,5,GCSE070211data
21,13,17,GCSE070211data
21,8,18,GCSE070211data
22,11,18,GCSE070211data
22,6,11,GCSE070211data
22,12,16,GCSE070211data
22,3,12,GCSE070211data
22,1,6,GCSE070211data
22,14,11,GCSE070211data
22,2,5,GCSE070211data
22,4,13,GCSE070211data
23,13,17,GCSE070211data
23,15,13,GCSE070211data
13,5,9,GCSE070211data
13,9,16,GCSE070211data
13,3,4,GCSE070211data
13,4,8,GCSE070211data
13,8,17,GCSE070211data
13,7,10,GCSE070211data
13,10,13,GCSE070211data
13,6,12,GCSE070211data
13,15,14,GCSE070211data
13,9,16,GCSE070211data
14,7,8,GCSE070211data
14,6,12,GCSE070211data
14,1,14,GCSE070211data
14,9,15,GCSE070211data
14,4,18,GCSE070211data
14,18,17,GCSE070211data
14,12,13,GCSE070211data
14,5,1,GCSE070211data
15,2,1,GCSE070211data
15,1,7,GCSE070211data
15,7,10,GCSE070211data
15,6,9,GCSE070211data
15,9,12,GCSE070211data
15,12,14,GCSE070211data
15,3,18,GCSE070211data
15,16,7,GCSE070211data
15,6,1,GCSE070211data
15,15,14,GCSE070211data
16,5,15,GCSE070211data
16,1,10,GCSE070211data
16,8,14,GCSE070211data
16,3,7,GCSE070211data
17,2,18,GCSE070211data
17,18,11,GCSE070211data
17,6,9,GCSE070211data
17,14,16,GCSE070211data
17,2,17,GCSE070211data
17,1,12,GCSE070211data
17,3,4,GCSE070211data
18,4,5,GCSE070211data
18,5,16,GCSE070211data
18,16,7,GCSE070211data
18,12,13,GCSE070211data
18,13,11,GCSE070211data
19,2,5,GCSE070211data
19,6,13,GCSE070211data
19,13,18,GCSE070211data
20,2,7,GCSE070211data
20,7,10,GCSE070211data
20,8,12,GCSE070211data
20,1,5,GCSE070211data
20,2,10,GCSE070211data
20,10,13,GCSE070211data
20,6,11,GCSE070211data
20,3,16,GCSE070211data
21,1,7,GCSE070211data
21,7,10,GCSE070211data
21,10,15,GCSE070211data
21,8,5,GCSE070211data
21,6,4,GCSE070211data
21,4,2,GCSE070211data
21,2,17,GCSE070211data
21,13,9,GCSE070211data
21,5,11,GCSE070211data
22,1,10,GCSE070211data
22,10,18,GCSE070211data
22,6,9,GCSE070211data
22,9,16,GCSE070211data
22,3,4,GCSE070211data
22,4,8,GCSE070211data
22,8,7,GCSE070211data
22,7,10,GCSE070211data
22,10,12,GCSE070211data
23,2,1,GCSE070211data
23,1,6,GCSE070211data
23,6,14,GCSE070211data
23,14,17,GCSE070211data
